"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID"
7532,"Kininogen Deficiency, Total",,,1,1,
7533,"Kinsbourne Syndrome",,,1,1,
7534,"Klebsiella cystitis",,,1,1,
7535,"Kleefstra syndrome","A syndrome characterized by childhood hypotonia, a distinctive facial appearance, speech impediments and developmental disability, as well as epilepsy, congenital and urogenetic defects, microcephaly, corpulence, and psychiatric disorders. It is caused either by a microdeletion in the chromosome region 9q34.3 or by a point mutation in the EHMT1 gene located in that region.",,2,1,"MONDO:0012455"
7536,"Kleefstra syndrome 1",,"A form of Kleefstra syndrome, an autosomal dominant disease characterized by variable mental retardation, psychomotor developmental delay, seizures, behavioral abnormalities, and facial dysmorphisms. KLEFS1 patients additionally manifest brachy(micro)cephaly, congenital heart defects, and urogenital defects.",2,2,"MONDO:0027407"
7537,"Kleefstra syndrome 2",,"A form of Kleefstra syndrome, an autosomal dominant disease characterized by variable mental retardation, psychomotor developmental delay, seizures, behavioral abnormalities, and facial dysmorphisms.",1,1,"MONDO:0054701"
7538,"Klein's Syndrome",,,1,1,
7539,"Kleine-Levin syndrome","A recurrent hypersomnia that is characterized by recurring periods of excessive amounts of sleep and altered behavior.",,10,10,"MONDO:0007863"
7540,"kleptomania","An impulse control disorder that involves the repeated impulse to steal for no great gain, when he or she has sufficient money to pay for the item and no need for what is stolen.",,3,3,"MONDO:0001520"
7541,"Klinefelter syndrome",,,33,33,"MONDO:0006823"
7542,"Klippel-Feil anomaly-myopathy-facial dysmorphism syndrome",,"A form of Klippel-Feil syndrome, a skeletal disorder characterized by congenital fusion of cervical vertebrae. It is due to a failure in the normal segmentation of vertebrae during the early weeks of fetal development. The clinical triad consists of short neck, low posterior hairline, and limited neck movement. KFS4 features additionally include myopathy, mild short stature, microcephaly, and distinctive facies.",1,1,"MONDO:0014689"
7543,"Klippel-Feil syndrome","A physical disorder that has material basis in abnormal segmentation of the vertebra during fetal development which results in fusion located in cervical vertebra.",,5,3,"MONDO:0001029"
7544,"Klippel-Feil syndrome 1, autosomal dominant",,"A skeletal disorder characterized by congenital fusion of cervical vertebrae. It is due to a failure in the normal segmentation of vertebrae during the early weeks of fetal development. The clinical triad consists of short neck, low posterior hairline, and limited neck movement. Deafness is a feature in some cases and may be of sensorineural, conductive, or mixed type.",1,1,"MONDO:0007306"
7545,"Klippel-Feil syndrome 2, autosomal recessive",,"A skeletal disorder characterized by congenital fusion of cervical vertebrae. It is due to a failure in the normal segmentation of vertebrae during the early weeks of fetal development. The clinical triad consists of short neck, low posterior hairline, and limited neck movement.",2,2,"MONDO:0008958"
7546,"Klippel-Feil syndrome 3, autosomal dominant",,"A skeletal disorder characterized by congenital fusion of cervical vertebrae. It is due to a failure in the normal segmentation of vertebrae during the early weeks of fetal development. The clinical triad consists of short neck, low posterior hairline, and limited neck movement.",1,1,"MONDO:0013375"
7547,"Klippel-Tr??naunay syndrome",,,1,1,
7548,"Kniest dysplasia","An osteochondrodysplasia that has_material_basis_in a mutation in the COL2A1 gene which results_in dwarfism with a short trunk and limbs as well as vision and hearing problems. The disease has_symptom large joints, has_symptom wide set eyes, has_symptom round flat face.","Moderately severe chondrodysplasia phenotype that results from mutations in the COL2A1 gene. Characteristics of the disorder include a short trunk and extremities, mid-face hypoplasia, cleft palate, myopia, retinal detachment, and hearing loss.",1,1,"MONDO:0007987"
7549,"Knobloch syndrome",,"A developmental disorder primarily characterized by typical eye abnormalities, including high myopia, cataracts, dislocated lens, vitreoretinal degeneration, and retinal detachment, with occipital skull defects, which can range from occipital encephalocele to occult cutis aplasia.",1,1,"MONDO:0009977"
7550,"Knuckle pads, leuconychia and sensorineural deafness",,,1,1,
7551,"Koolen de Vries syndrome","A syndrome that is characterized by developmental delay, intellectual disability, muscle weakness (hypotonia), epilepsy, distinctive facial features and congenital malformations of the heart, urogenital tract and the central nervous system, and has_material_basis_in either a chromosome 17 (17q21.31) microdeletion or a mutation in the KANSL1-gene.",,1,1,"MONDO:0012496"
7552,"Kostmann syndrome",,"A disorder of hematopoiesis characterized by maturation arrest of granulopoiesis at the level of promyelocytes with peripheral blood absolute neutrophil counts below 0.5 x 10(9)/l and early onset of severe bacterial infections. Some patients affected by severe congenital neutropenia type 3 have neurological manifestations such as psychomotor retardation and seizures.",1,1,"MONDO:0012548"
7553,"Krabbe disease",,"An autosomal recessive disorder characterized by insufficient catabolism of several galactolipids that are important for normal myelin production. Four clinical forms are recognized. The infantile form accounts for 90% of cases. It manifests before six months of age with irritability, spasticity, arrest of motor and mental development, and bouts of temperature elevation without infection. This is followed by myoclonic jerks of arms and legs, oposthotonus, hypertonic fits, and mental regression, which progresses to a severe decerebrate condition with no voluntary movements and death from respiratory infections or cerebral hyperpyrexia before 2 years of age. Cases with later onset present with unexplained blindness, weakness and sensorimotor peripheral neuropathy, mental deterioration and death.",1,1,"MONDO:0009499"
7554,"Krabbe disease, atypical, due to saposin A deficiency",,"A disorder of galactosylceramide metabolism. Clinical features include neurologic regression around age 3 months, loss of spontaneous movements, hyporeflexia, generalized brain atrophy, and diffuse white matter dysmyelination.",1,1,"MONDO:0012720"
7555,"KRT14-related epidermolysis bullosa simplex",,"A form of epidermolysis bullosa, a genodermatosis characterized by recurrent blistering and cleavage within basal keratinocytes, fragility of the skin and mucosal epithelia, and erosions caused by minor mechanical trauma.",3,3,"MONDO:0010976"
7556,"Kufor-Rakeb syndrome","A disease that is characterized by supranuclear gaze palsy, spasticity, and dementia and has_material_basis_in homozygous or compound heterozygous mutation in a lysosomal type 5 ATPase encoding gene (ATP13A2) on chromosome 1p36.","A rare form of autosomal recessive juvenile or early-onset, levodopa-responsive parkinsonism. In addition to typical parkinsonian signs, clinical manifestations of Kufor-Rakeb syndrome include behavioral problems, facial tremor, pyramidal tract dysfunction, supranuclear gaze palsy, and dementia.",1,1,"MONDO:0011706"
7557,"kuru",,"Kuru is transmitted during ritualistic cannibalism, among natives of the New Guinea highlands. Patients exhibit various movement disorders like cerebellar abnormalities, rigidity of the limbs, and clonus. Emotional lability is present, and dementia is conspicuously absent. Death usually occurs from 3 to 12 month after onset.",2,2,"MONDO:0006825"
7558,"kuru, susceptibility to",,,2,2,"MONDO:0009500"
7559,"Kuskokwim disease",,,1,1,
7560,"Kyphosis",,,5,5,
7561,"Kyphosis deformity of spine",,,5,5,
7562,"L-2-hydroxyglutaric aciduria","An 2-hydroxyglutaric aciduria that involves damage to cerebellum affecting movement coordination resulting in problems with balance and muscle coordination (ataxia).","A rare autosomal recessive disorder clinically characterized by mild psychomotor delay in the first years of life, followed by progressive cerebellar ataxia, dysarthria and moderate to severe mental retardation. Diagnosis is based on the presence of an excess of L-2-hydroxyglutaric acid in urine, blood and cerebrospinal fluid.",4,4,"MONDO:0009370"
7563,"L-ferritin deficiency",,"A condition characterized by low levels of ferritin in serum and tissues in the absence of other hematological symptoms. Seizures and mild neuropsychologic impairment may manifest in individuals with complete ferritin deficiency.",1,1,"MONDO:0014274"
7564,"Labor pain",,,4,4,
7565,"lacrimal apparatus disease",,,1744,1,"MONDO:0001854"
7566,"Lacrimal Apparatus Diseases",,,1,1,
7567,"LACRIMAL DUCT DEFECT",,,1,1,
7568,"lacrimal duct obstruction",,,1,1,"MONDO:0001833"
7569,"Lacrimal Puncta, Absence of",,,1,1,
7570,"Lactase Deficiency, Congenital",,,1,1,
7571,"Lactate dehydrogenase deficiency type A",,,1,1,
7572,"lactic acidosis",,,6,4,"MONDO:0006040"
7573,"Lactic Acidosis, Congenital Infantile, Due To LAD Deficiency",,,1,1,
7574,"lactose intolerance",,,2,2,"MONDO:0100345"
7575,"lactose intolerance adult type",,,2,2,"MONDO:0006065"
7576,"Lactose Intolerance, Adult Type",,,1,1,
7577,"LADD syndrome","An autosomal dominant disease that is characterized by abnormalities affecting the lacrimal and salivary glands and ducts, ears, teeth and fingers and toes.","An autosomal dominant ectodermal dysplasia, a heterogeneous group of disorders due to abnormal development of two or more ectodermal structures. Lacrimo-auriculo-dento-digital syndrome is characterized by aplastic/hypoplastic lacrimal and salivary glands and ducts, cup-shaped ears, hearing loss, hypodontia and enamel hypoplasia, and distal limb segments anomalies. In addition to these cardinal features, facial dysmorphism, malformations of the kidney and respiratory system and abnormal genitalia have been reported. Craniosynostosis and severe syndactyly are not observed.",3,3,"MONDO:0007872"
7578,"Lafora Body Disease, Late Onset",,,3,3,
7579,"Lafora disease",,"An autosomal recessive and severe form of adolescent-onset progressive epilepsy. Typically, as seizures increase in frequency, cognitive function declines towards dementia, and affected individuals die usually within 10 years after onset. EPM2 occurs worldwide, but it is particularly common in the mediterranean countries of southern Europe and northern Africa, in southern India and in the Middle East. At the cellular level, it is characterized by accumulation of starch-like polyglucosans called Lafora bodies (LBs) that are most abundant in organs with the highest glucose metabolism: brain, heart, liver and skeletal muscle. Among other conditions involving polyglucosans, EPM2 is unique in that the inclusions are in neuronal dendrites but not axons and the forming polyglucosan fibrils are associated with the endoplasmic reticulum.",3,3,"MONDO:0009697"
7580,"Lamb-Shaffer syndrome",,"An autosomal dominant, neurodevelopmental disorder characterized by global developmental delay, intellectual disability, language and motor impairment, and distinct facial features. Additional variable skeletal abnormalities may also be present.",1,1,"MONDO:0014778"
